student_id,age,gender,department,study_hours,attendance,sleep_hours,previous_gpa,assignments_completed,internet_hours,extracurricular_hours,monthly_expense,parent_education,part_time_job,exam_score
45,24,Male,ECE,1.0,76.39,7.66,3.1,9,5.3,2.04,22387.09,,No,98.07
46,24,Female,ECE,5.58,87.77,5.14,2.16,3,5.61,2.29,6685.05,Bachelor,No,94.58
47,19,Male,EEE,2.63,89.24,6.27,3.07,5,5.15,3.5,29452.59,PhD,No,100.0
48,18,Female,ECE,7.7,72.19,6.84,3.48,7,7.81,1.13,21599.18,Master,Yes,100.0
49,23,Female,ECE,5.85,82.75,5.84,3.38,3,3.95,0.0,12081.84,Master,Yes,96.64
50,18,Male,ECE,9.2,55.47,9.4,2.93,2,1.57,4.52,16381.21,Bachelor,Yes,100.0
51,25,Female,ECE,1.62,81.19,6.87,1.9,9,3.41,2.17,16829.43,Master,No,93.18
52,21,Female,AIML,5.03,77.63,5.34,2.74,6,3.65,2.32,17332.22,Master,Yes,100.0
53,22,Female,ECE,11.05,73.39,6.67,3.18,2,5.16,2.85,26282.2,School,Yes,100.0
54,19,Female,AIML,7.07,70.9,6.55,3.57,6,1.78,2.48,22115.24,School,No,100.0
55,23,Male,AIML,4.19,79.09,6.06,2.1,7,4.03,1.88,10332.52,Master,No,94.66
56,19,Female,AIML,4.24,71.97,7.65,3.19,3,,4.01,17689.97,Master,No,90.39
57,18,Female,ECE,6.9,74.88,7.64,3.49,6,3.39,5.03,10778.27,Bachelor,Yes,100.0
58,19,Female,MECH,10.03,65.07,6.85,3.71,10,4.25,2.73,20434.89,Bachelor,No,100.0
59,21,Female,ECE,4.54,83.25,7.47,3.04,9,3.38,4.38,5000.0,Bachelor,No,100.0
60,20,Male,ECE,7.63,62.02,9.55,2.86,5,3.38,2.32,11422.81,Master,No,100.0
61,21,Female,ECE,7.21,63.41,7.14,3.3,5,3.77,2.3,26693.82,Bachelor,No,100.0
62,18,Female,ECE,6.09,98.04,6.58,3.5,7,4.8,2.19,31677.53,Bachelor,Yes,100.0
63,25,Male,CSE,7.94,84.14,7.07,2.22,9,4.33,0.0,20074.63,Master,No,100.0
64,25,Female,AIML,2.81,93.81,7.57,1.91,4,3.47,3.51,22791.08,School,No,100.0
65,21,Male,ECE,5.99,73.58,7.85,3.43,2,3.3,3.21,16410.02,Bachelor,No,97.49
66,19,Male,CSE,4.02,68.13,8.28,2.85,8,2.92,0.94,9531.42,Bachelor,Yes,93.43
67,24,Female,CSE,8.85,83.55,7.54,3.25,3,6.9,3.03,11114.52,School,No,100.0
68,18,Male,MECH,12.0,100.0,8.52,3.22,9,2.6,1.6,28909.48,Master,No,100.0
69,23,Male,ECE,4.18,55.81,7.9,2.96,7,2.35,0.85,19947.19,Master,No,97.33
70,23,Female,AIML,8.1,64.04,8.79,3.89,10,8.53,1.65,21487.9,Bachelor,No,100.0
71,20,Female,CSE,5.34,56.45,4.52,3.09,10,2.85,3.4,20660.27,Master,No,100.0
72,24,Male,CSE,3.34,64.07,6.31,2.85,9,4.24,3.34,9573.23,Bachelor,No,97.26
73,18,Male,AIML,6.55,76.44,7.1,2.98,4,5.06,1.4,16221.53,Master,Yes,100.0
74,25,Male,MECH,7.72,89.09,-2.0,1.79,8,3.57,1.47,8409.24,School,No,94.27
75,21,Female,MECH,5.38,85.93,6.77,3.16,9,2.95,1.01,11287.46,Bachelor,Yes,100.0
76,21,Male,ECE,7.48,77.21,6.75,2.73,10,2.82,2.83,26289.58,Bachelor,No,100.0
77,23,Female,AIML,5.97,73.81,8.93,3.12,8,3.88,0.0,24880.09,Master,Yes,100.0
78,22,Female,CSE,7.4,78.72,5.85,3.06,2,6.57,2.31,33070.97,Master,No,100.0
79,21,Female,AIML,6.34,54.96,6.29,2.31,4,4.31,3.65,22807.75,Master,No,88.62
80,24,Male,ECE,6.52,79.21,7.13,3.57,5,6.24,3.69,26633.77,Bachelor,No,100.0
81,25,Female,CSE,6.22,67.11,5.53,4.0,8,6.22,0.45,18509.08,Bachelor,No,100.0
82,18,Female,CSE,7.93,69.69,7.95,4.0,5,4.23,1.06,17655.36,School,No,100.0
83,25,Female,AIML,12.0,83.77,6.52,2.91,9,3.72,1.69,17667.78,Master,No,100.0
84,20,Female,ECE,8.1,86.67,7.17,2.59,9,1.9,1.3,16988.81,Master,No,100.0
85,22,Female,EEE,7.54,84.19,4.72,3.85,5,4.41,6.58,22974.62,Master,No,100.0
86,23,Female,CSE,4.43,74.49,6.72,2.76,2,4.42,1.17,11804.17,Bachelor,No,87.63
87,22,Male,MECH,1.0,74.44,6.11,3.25,6,0.5,4.63,14361.43,Master,Yes,87.61
88,18,Other,AIML,2.74,82.83,8.03,2.36,7,1.59,1.26,13108.26,Bachelor,Yes,88.22
89,22,Male,AIML,7.71,75.4,5.33,3.8,5,4.31,2.39,14768.55,Master,No,100.0
90,19,Male,CSE,5.29,64.25,,3.89,9,7.04,4.11,22451.34,Bachelor,Yes,100.0
91,20,Male,CSE,4.03,90.88,7.7,3.32,5,5.69,3.67,,School,No,100.0
92,25,Female,ECE,5.7,72.87,7.19,2.74,2,2.11,3.11,10511.29,Master,No,97.2
93,18,Female,EEE,5.14,60.18,7.08,3.26,8,5.52,0.7,17096.66,Bachelor,Yes,94.94
94,24,Female,AIML,4.95,60.27,7.54,2.25,2,6.18,4.55,21355.27,Bachelor,No,84.97
95,21,Female,ECE,5.52,75.17,7.08,2.01,4,2.94,3.25,22534.76,School,No,90.36
96,19,Male,AIML,5.07,90.95,6.65,3.39,2,4.06,2.7,22456.46,Bachelor,Yes,93.62
97,24,Male,AIML,2.54,92.1,6.11,3.63,4,4.93,3.65,16818.15,Master,No,100.0
98,22,Male,EEE,4.34,84.79,5.88,2.96,5,1.12,2.07,18161.16,Bachelor,No,95.42
99,24,Female,CSE,5.54,64.57,8.76,2.34,7,6.01,0.31,25132.69,PhD,No,93.95
100,18,Male,AIML,5.01,79.14,5.9,3.0,5,2.13,4.71,15606.24,Bachelor,Yes,97.01
101,21,Male,AIML,12.0,92.18,9.18,2.84,8,2.58,3.12,20337.19,Bachelor,No,100.0
102,21,Male,MECH,5.4,65.13,7.09,4.0,2,4.03,1.87,17357.72,Master,No,100.0
103,18,Male,EEE,5.3,74.56,9.23,2.74,2,3.87,2.17,18252.14,Bachelor,No,100.0
104,22,Male,AIML,8.6,72.3,7.57,2.64,4,3.4,3.24,24387.98,School,No,100.0
105,22,Female,CSE,3.32,100.0,7.05,3.41,8,7.87,1.89,23406.04,School,Yes,100.0
106,21,Female,CSE,5.17,91.63,8.03,2.93,2,5.46,1.89,12474.45,Bachelor,Yes,100.0
107,21,Male,CSE,8.7,85.55,8.74,2.48,6,5.66,0.75,27797.04,Bachelor,No,100.0
108,20,Female,CSE,9.26,99.2,8.9,2.56,7,2.47,3.36,16111.53,Bachelor,Yes,100.0
109,19,Male,AIML,5.96,81.81,6.6,3.29,2,4.36,1.17,21832.05,Bachelor,No,99.91
110,23,Female,CSE,8.28,80.65,9.62,3.5,8,5.44,4.39,16405.67,Master,No,100.0
111,25,Male,ECE,3.57,97.24,5.88,3.44,10,3.1,0.57,14060.53,Master,No,100.0
112,23,Male,CSE,6.6,76.82,9.04,3.13,10,3.33,4.37,20546.55,Bachelor,No,100.0
113,24,Male,ECE,6.32,62.93,7.54,3.25,10,4.43,1.83,10846.53,Bachelor,No,100.0
114,25,Male,ECE,5.68,91.44,6.93,2.08,4,4.12,5.0,17026.68,PhD,No,94.33
115,22,Male,AIML,5.48,74.07,6.09,4.0,3,0.93,2.01,14964.33,Master,No,98.08
116,19,Male,ECE,8.92,95.1,7.86,2.04,6,1.77,2.27,14267.43,Master,No,100.0
117,25,Male,AIML,6.6,53.23,8.95,3.36,4,7.69,3.07,17335.37,School,No,100.0
118,18,Male,MECH,9.99,91.04,7.77,3.99,5,5.07,3.82,14176.45,Bachelor,No,100.0
119,21,Male,CSE,4.97,82.68,8.26,2.57,5,4.09,4.6,16454.98,Master,No,100.0
120,23,Female,AIML,4.37,73.21,4.87,2.49,3,3.34,0.64,20028.41,Bachelor,No,78.52
121,19,Female,AIML,4.97,75.0,8.38,2.14,5,0.89,1.54,27054.49,Bachelor,No,97.46
122,23,Female,ECE,6.95,84.78,6.79,2.93,6,0.65,4.54,11693.47,Master,Yes,100.0
123,21,Male,EEE,6.41,77.22,5.02,3.08,8,4.99,0.0,19880.25,Bachelor,No,100.0
124,23,Female,CSE,11.51,81.57,8.0,3.94,7,2.56,1.03,38423.39,Master,Yes,100.0
125,19,Male,CSE,6.03,77.18,8.59,3.81,3,7.38,0.0,25654.1,PhD,Yes,100.0
126,20,Female,ECE,5.76,79.77,6.88,2.49,7,4.96,1.97,16508.17,Bachelor,Yes,100.0
127,23,Male,ECE,4.85,86.06,7.91,3.27,10,1.42,0.67,8483.79,School,No,100.0
128,24,Female,ECE,6.53,60.03,5.64,3.68,2,3.88,1.74,19785.87,Master,No,100.0
129,19,Male,ECE,8.07,76.0,5.34,4.0,4,0.5,4.19,16252.22,PhD,No,100.0
130,23,Male,CSE,7.82,81.77,6.08,3.19,4,6.88,2.55,24763.05,Bachelor,No,100.0
131,21,Male,AIML,1.0,71.42,5.32,3.33,8,7.44,2.46,33104.03,Bachelor,No,93.59
132,21,Other,CSE,8.05,97.89,8.92,2.71,7,1.54,3.11,18688.97,Master,No,100.0
133,18,Female,ECE,8.59,68.81,6.7,2.32,9,2.93,2.75,13414.44,Bachelor,No,100.0
134,21,Female,MECH,5.51,74.56,5.82,3.51,6,4.25,0.0,13256.46,Bachelor,Yes,100.0
135,19,Female,AIML,4.92,70.33,5.37,3.11,7,3.73,2.7,17580.26,PhD,No,100.0
136,24,Male,CSE,2.65,87.39,6.58,3.42,5,3.42,1.5,14350.89,Bachelor,No,100.0
137,25,Male,CSE,3.66,81.95,6.18,3.05,5,5.66,1.33,25353.11,Master,Yes,94.18
138,22,Female,CSE,6.25,99.32,4.6,2.3,4,5.46,0.41,23180.14,Master,No,87.68
139,24,Female,EEE,4.72,69.62,6.09,2.79,5,4.25,3.52,15866.33,Master,No,99.42
140,22,Female,EEE,4.79,66.53,8.26,3.87,10,2.65,2.12,20748.64,School,No,100.0
141,24,Female,CSE,3.44,77.34,7.84,1.77,7,4.73,2.67,33146.93,Bachelor,Yes,92.51
142,22,Female,AIML,6.15,80.82,8.49,3.15,10,3.77,2.57,21745.21,Master,Yes,100.0
143,20,Male,ECE,6.36,89.18,8.24,2.59,10,1.94,0.76,18000.57,Master,No,100.0
144,18,Female,ECE,5.02,86.65,7.28,3.51,10,5.33,0.0,14415.32,Master,Yes,100.0
145,24,Female,MECH,7.81,71.75,5.58,2.68,10,5.06,1.1,8305.96,School,No,100.0
146,24,Male,ECE,7.36,76.04,7.61,3.33,10,3.6,2.57,20040.92,Master,No,100.0
147,22,Female,ECE,6.42,72.89,6.91,2.82,6,3.82,4.74,11181.01,School,No,98.38
148,18,Male,AIML,2.7,94.71,7.23,3.05,6,5.73,3.1,21244.34,Master,No,100.0
149,22,Female,AIML,6.14,64.45,9.56,2.36,10,4.13,3.32,25055.29,Bachelor,No,100.0
150,25,Female,EEE,5.31,92.64,7.91,2.58,5,5.18,0.0,34694.04,School,No,100.0
151,18,Female,AIML,6.33,71.3,9.34,2.86,10,2.2,0.61,26009.12,Master,No,100.0
152,18,Female,CSE,5.74,82.95,6.13,3.76,10,3.21,2.32,16284.57,Bachelor,Yes,100.0
153,19,Female,CSE,6.38,78.47,5.9,2.73,3,5.47,4.9,6682.58,Master,No,100.0
154,24,Female,AIML,7.82,77.34,7.05,2.09,10,7.78,3.5,17033.93,Bachelor,Yes,100.0
155,21,Female,EEE,4.89,54.69,7.85,3.44,7,6.22,5.91,19699.53,Bachelor,Yes,100.0
156,19,Male,CSE,6.69,67.53,7.24,3.71,9,2.71,5.89,18693.63,Bachelor,No,100.0
157,19,Male,EEE,6.73,86.11,7.44,,5,5.12,4.16,21170.93,Bachelor,No,100.0
158,22,Male,AIML,6.52,55.31,9.26,3.05,4,5.9,4.1,15031.87,School,No,100.0
159,25,Male,MECH,3.79,96.88,7.41,3.24,7,2.82,5.17,15447.06,Bachelor,No,100.0
160,20,Female,ECE,4.94,89.68,6.24,2.12,2,4.39,0.0,14858.18,School,Yes,94.16
161,19,Female,ECE,8.03,70.01,6.8,2.77,6,4.67,3.23,18009.04,Bachelor,Yes,100.0
162,23,Female,AIML,8.63,92.18,8.71,2.93,7,3.46,2.79,10929.0,Bachelor,No,100.0
163,22,Male,ECE,9.94,75.37,7.13,3.79,9,1.95,3.59,23707.92,Bachelor,No,100.0
164,20,Female,CSE,9.36,70.93,6.95,3.31,9,4.05,0.16,14038.86,School,No,100.0
165,25,Female,EEE,7.29,98.25,5.06,3.88,9,0.5,4.5,17447.46,School,No,100.0
166,24,Female,MECH,6.12,92.12,8.32,3.11,2,4.31,2.63,24893.66,Bachelor,No,100.0
167,22,Male,AIML,7.0,71.0,7.15,3.8,7,4.12,0.93,12311.79,Master,No,100.0
168,24,Female,ECE,8.42,77.97,9.53,3.2,10,5.23,3.85,5658.0,Master,No,100.0
169,23,Other,EEE,4.78,89.67,8.04,2.58,9,2.1,3.49,17331.61,Bachelor,No,100.0
170,21,Male,CSE,5.54,78.91,9.23,3.17,8,4.08,6.41,16745.74,PhD,No,100.0
171,21,Male,ECE,5.06,77.36,5.76,3.12,4,5.15,2.74,20227.96,School,No,100.0
172,20,Male,EEE,7.86,66.9,6.64,3.26,3,3.61,0.0,18566.86,Bachelor,Yes,100.0
173,19,Female,CSE,6.35,78.48,6.32,4.0,8,8.73,2.09,16679.81,PhD,Yes,100.0
174,25,Female,ECE,6.9,94.26,8.87,3.89,9,3.19,0.74,19358.7,Bachelor,No,100.0
175,18,Male,EEE,2.02,78.18,7.71,3.95,4,7.04,1.31,9262.61,PhD,No,100.0
176,25,Male,CSE,5.58,78.48,7.0,2.84,3,3.2,0.0,29354.72,Master,No,100.0
177,18,Male,EEE,9.11,80.75,6.75,1.6,5,8.43,1.71,12762.64,Bachelor,Yes,97.83
178,18,Male,EEE,3.83,77.88,8.23,3.76,10,,3.1,9148.25,School,No,100.0
179,18,Male,CSE,5.39,87.0,5.73,3.39,4,2.93,3.83,21483.86,Bachelor,No,100.0
180,20,Female,AIML,7.19,81.86,5.65,1.7,9,5.09,3.42,18461.39,School,Yes,100.0
181,21,Female,EEE,8.32,75.51,6.2,3.56,5,1.08,3.57,19354.78,School,No,100.0
182,25,Female,AIML,7.8,59.65,5.96,2.98,6,2.38,4.1,17404.33,Master,No,100.0
183,23,Male,EEE,4.48,98.88,6.85,2.69,2,3.11,1.0,17153.87,School,Yes,100.0
184,21,Male,AIML,1.51,73.37,5.04,3.58,8,1.11,4.89,21654.37,Bachelor,No,97.98
185,18,Female,EEE,1.74,81.29,6.26,2.1,2,2.77,2.31,25802.04,Bachelor,Yes,82.79
186,23,Female,AIML,5.5,79.23,8.31,3.54,5,4.67,1.29,24236.39,School,No,100.0
187,20,Male,AIML,4.14,77.85,9.58,3.55,8,2.99,3.15,16738.58,Master,Yes,100.0
188,24,Female,ECE,7.42,94.74,5.5,3.08,9,6.85,0.0,5166.1,Master,Yes,100.0
189,21,Female,AIML,8.54,58.43,7.73,2.98,2,1.21,0.0,10415.86,,Yes,100.0
190,20,Male,ECE,8.77,81.78,7.82,2.91,7,6.43,2.82,12612.05,Bachelor,No,100.0
191,18,Female,CSE,6.82,73.42,5.88,2.73,7,8.04,0.34,16759.6,Bachelor,No,100.0
192,19,Female,CSE,4.35,75.06,6.79,3.28,8,4.48,1.62,25466.79,School,No,100.0
193,22,Female,EEE,6.19,65.11,7.65,3.41,10,6.88,4.04,20854.54,Master,Yes,100.0
194,18,Female,MECH,7.52,80.96,6.55,2.94,10,8.65,4.3,15839.97,Bachelor,No,100.0
195,18,Male,AIML,5.64,84.12,6.8,3.88,6,6.38,1.82,15742.22,Bachelor,No,100.0
196,24,Male,CSE,8.42,67.09,7.87,2.84,8,4.72,1.34,15150.09,Bachelor,No,100.0
197,25,Male,AIML,6.51,86.83,5.33,3.03,5,5.07,1.31,19103.77,Bachelor,No,100.0
198,19,Other,MECH,8.28,78.37,7.42,2.67,5,2.59,2.86,11429.76,Bachelor,No,100.0
199,25,Female,MECH,5.46,78.33,5.85,3.56,6,3.0,3.17,18543.08,School,Yes,96.32
200,19,Other,ECE,4.24,74.24,8.76,2.58,6,1.49,2.44,13463.73,School,No,100.0
201,19,Male,MECH,6.47,65.15,7.92,2.74,10,4.16,4.38,25813.88,Bachelor,Yes,100.0
202,23,Female,ECE,4.85,100.0,8.1,3.06,3,5.58,0.0,23014.46,School,No,100.0
203,24,Female,CSE,4.64,99.38,6.25,2.96,5,10.29,4.41,29853.72,Master,No,100.0
204,22,Female,MECH,6.81,70.14,7.89,3.96,10,2.24,7.11,17608.7,School,No,100.0
205,25,Male,CSE,4.92,53.57,5.32,2.68,7,2.28,1.56,7263.85,Master,Yes,81.24
206,22,Male,CSE,6.02,94.83,6.18,3.37,4,3.72,0.54,24813.85,Bachelor,No,100.0
207,21,Female,AIML,1.82,83.71,6.45,3.05,5,4.48,1.49,17729.93,Bachelor,No,91.93
208,23,Female,EEE,9.96,66.27,7.15,3.59,5,0.6,4.85,21492.99,Bachelor,No,100.0
209,23,Female,AIML,7.22,75.18,6.36,2.49,2,0.98,2.37,8611.85,PhD,No,100.0
210,22,Female,AIML,5.97,73.38,6.19,2.14,6,0.88,1.52,23608.13,PhD,No,100.0
211,21,Male,AIML,6.33,83.26,,1.5,2,3.94,2.42,24042.46,Bachelor,No,94.08
212,22,Female,AIML,7.46,80.52,8.06,2.14,2,7.93,3.42,22264.2,Bachelor,No,100.0
213,20,Female,EEE,11.15,62.06,8.57,3.58,5,6.4,0.0,24277.61,School,No,100.0
214,19,Male,ECE,5.85,78.13,9.41,3.84,5,5.39,3.96,9819.11,Master,No,100.0
215,19,Male,CSE,9.34,63.84,4.4,3.45,9,4.33,2.58,27394.57,Bachelor,No,100.0
216,24,Male,AIML,7.78,82.07,6.66,2.91,3,4.87,2.71,21450.93,Bachelor,No,100.0
217,19,Male,AIML,3.44,77.19,9.12,2.74,4,3.61,3.48,20856.68,School,No,100.0
218,22,Male,ECE,6.73,72.48,8.67,3.39,4,1.92,2.45,19624.56,Bachelor,No,100.0
219,23,Male,MECH,6.6,78.01,8.04,2.67,4,4.34,3.31,13220.5,Bachelor,No,100.0
220,18,Male,ECE,7.88,74.19,5.79,3.2,4,2.64,3.4,14430.07,Master,No,100.0
221,21,Male,AIML,6.01,73.84,6.47,3.12,3,1.37,1.02,9047.52,Bachelor,No,91.53
222,18,Male,MECH,6.12,83.48,6.78,2.26,6,4.89,1.4,20817.49,School,No,100.0
223,22,Female,CSE,8.31,80.72,8.33,3.87,2,1.07,0.48,18986.02,Bachelor,Yes,100.0
224,22,Male,EEE,3.7,85.74,5.89,2.9,3,3.03,4.35,16103.18,Bachelor,No,91.82
225,22,Female,AIML,6.62,94.64,7.18,2.61,2,4.9,0.0,8722.27,Bachelor,No,100.0
226,21,Female,MECH,7.67,80.02,4.86,3.0,5,5.78,4.92,13537.51,Master,No,100.0
227,24,Female,CSE,6.77,65.58,6.83,2.86,5,7.11,4.29,20778.68,Master,No,100.0
228,24,Female,AIML,7.72,85.04,6.6,2.62,3,5.02,4.26,21486.49,Bachelor,Yes,100.0
229,19,Female,CSE,6.19,95.05,5.4,2.41,5,3.66,2.8,5000.0,Master,No,98.64
230,25,Male,MECH,7.06,83.19,9.78,3.2,9,1.9,5.58,16525.04,School,No,100.0
231,19,Male,CSE,4.61,64.75,6.99,3.3,7,2.49,4.13,21922.9,School,Yes,96.43
232,18,Female,ECE,4.51,79.42,10.0,2.55,10,4.4,0.54,15644.67,Bachelor,No,100.0
233,25,Male,CSE,3.76,73.98,8.54,3.51,5,2.56,2.99,14168.14,Bachelor,No,100.0
234,21,Male,MECH,5.22,75.04,6.54,2.8,10,6.48,1.19,25055.11,Bachelor,No,100.0
235,23,Male,ECE,8.65,79.65,7.44,2.84,4,4.74,3.21,11809.21,Bachelor,No,100.0
236,24,Male,AIML,5.72,76.42,5.69,3.26,8,3.53,1.54,26695.38,Bachelor,Yes,96.19
237,21,Female,CSE,6.07,76.87,6.67,2.32,10,1.67,0.59,34563.04,School,Yes,100.0
238,24,Male,CSE,2.81,65.43,7.56,3.2,10,1.54,2.59,11712.37,Bachelor,No,95.33
239,24,Female,ECE,8.38,90.96,7.32,3.21,9,4.25,2.65,14632.84,Master,No,100.0
240,22,Female,AIML,3.86,69.53,7.88,3.54,3,7.56,2.8,20611.33,Master,No,90.87
241,24,Female,ECE,5.55,88.77,7.69,3.78,3,0.5,1.7,21827.53,Master,No,100.0
242,19,Male,ECE,5.78,79.6,8.97,4.0,7,2.35,5.66,21016.29,Master,No,100.0
243,20,Male,CSE,5.84,87.02,7.86,3.54,6,4.05,1.99,23167.06,Master,No,100.0
244,18,Female,CSE,6.35,65.37,8.23,2.35,10,2.02,2.98,20378.64,Bachelor,No,100.0
245,23,Male,CSE,12.0,71.08,5.9,2.18,2,5.71,0.0,7666.83,Master,Yes,100.0
246,24,Female,ECE,8.05,76.75,5.68,3.31,4,2.42,4.5,11324.76,School,No,100.0
247,22,Female,CSE,7.19,71.62,7.41,2.67,9,3.21,1.63,16427.86,Bachelor,Yes,100.0
248,22,Male,AIML,1.39,75.43,6.8,2.84,3,6.11,2.83,18627.02,PhD,No,89.7
249,23,Male,ECE,4.95,67.05,6.56,3.69,5,5.43,4.05,11698.95,Master,No,98.64
250,25,Other,AIML,9.07,77.58,8.16,3.37,2,6.67,3.68,29183.21,Bachelor,No,100.0
251,21,Female,CSE,5.87,76.05,6.33,3.95,3,3.03,3.16,,Bachelor,No,100.0
252,21,Female,AIML,4.22,75.78,5.95,3.12,9,5.39,0.96,16918.38,Bachelor,No,100.0
253,20,Female,ECE,7.55,71.66,5.46,3.41,7,3.37,1.27,15037.42,Bachelor,Yes,100.0
254,23,Female,MECH,5.0,82.01,8.6,1.97,5,1.81,0.0,29870.04,PhD,Yes,89.16
255,19,Female,MECH,8.73,83.26,6.38,3.2,7,5.0,1.4,10558.92,School,No,100.0
256,19,Male,EEE,6.42,68.23,5.83,3.16,7,2.19,2.75,19019.43,Master,No,100.0
257,25,Male,EEE,4.63,88.23,7.53,2.84,8,3.09,3.09,22399.15,Bachelor,No,100.0
258,20,Male,ECE,11.3,70.44,6.37,2.67,5,1.84,3.2,21397.52,Bachelor,Yes,100.0
259,22,Female,AIML,6.92,67.31,7.95,3.21,5,0.78,3.09,16067.76,Bachelor,Yes,100.0
260,19,Female,CSE,5.47,77.73,7.51,1.98,3,9.62,0.8,16804.67,School,Yes,94.98
261,21,Female,ECE,3.23,75.08,6.85,2.58,7,4.09,3.69,23758.74,School,Yes,94.12
262,24,Female,AIML,6.24,93.52,6.43,3.96,6,3.15,0.0,15542.41,School,No,100.0
263,18,Male,AIML,6.06,63.6,7.05,2.78,6,4.6,3.59,15624.61,Master,Yes,100.0
