study_hours,attendance,sleep_hours,previous_gpa,assignments_completed,internet_hours,parent_education,extracurricular_hours,monthly_expense,exam_score
5.02,74.48,7.38,2.71,9,3.08,1,0.49,20178.69,100.0
7.33,78.18,6.95,3.44,9,3.57,1,1.88,19866.66,100.0
10.04,94.76,7.52,2.31,10,0.89,3,2.7,6662.1,100.0
6.42,81.27,7.08,3.16,8,2.96,0,1.82,30091.65,100.0
10.1,75.81,5.59,2.25,8,3.41,2,2.17,25743.87,100.0
1.0,86.29,8.1,3.26,6,8.22,1,2.36,15616.83,100.0
8.39,55.89,6.46,2.98,7,1.5,3,2.38,11386.38,100.0
6.7,80.36,5.29,2.11,9,6.14,2,2.58,20085.37,100.0
5.81,85.71,6.53,3.64,10,5.29,1,0.91,18520.19,100.0
6.71,63.21,8.65,2.6,7,4.01,2,1.42,20134.01,100.0
1.93,89.44,7.94,2.55,7,6.67,3,0.57,19149.46,100.0
5.99,81.38,6.62,3.11,8,4.17,4,3.97,21037.45,100.0
7.32,73.85,6.62,3.63,9,4.2,1,0.0,26683.83,100.0
9.9,84.33,6.65,2.44,5,3.4,3,4.23,21408.62,100.0
5.31,100.0,9.28,3.03,3,5.7,4,4.58,11702.07,100.0
4.64,79.82,7.42,3.24,6,5.47,3,2.05,26175.38,100.0
5.35,80.48,7.47,3.38,5,2.37,2,0.0,27843.69,100.0
8.61,73.41,8.13,3.1,6,1.13,2,1.96,36912.34,100.0
7.26,69.5,7.26,2.8,7,3.13,2,2.4,11259.04,100.0
5.28,86.3,6.72,2.54,7,2.06,3,0.98,19457.29,100.0
7.68,69.44,6.78,3.05,10,3.39,2,1.73,5507.41,100.0
6.72,78.72,6.92,2.41,8,5.73,3,4.8,21318.89,100.0
8.73,73.22,6.96,1.5,8,2.68,2,3.5,14710.8,100.0
4.89,82.79,7.8,3.24,9,3.42,3,1.11,29540.67,100.0
5.75,81.34,7.06,3.5,5,3.6,3,0.1,13352.31,100.0
5.6,88.38,7.81,1.7,10,5.03,1,2.01,7864.9,100.0
3.13,72.9,6.91,2.44,7,0.5,3,2.18,15172.42,99.26
7.18,75.3,7.09,3.34,9,2.41,2,3.24,6147.07,100.0
7.1,68.21,4.8,4.0,5,3.88,3,1.7,22506.6,100.0
6.51,73.56,8.01,3.01,4,5.66,2,3.27,5609.5,100.0
5.96,81.77,7.38,2.6,9,2.61,2,5.4,18170.75,100.0
3.24,85.57,8.1,2.9,8,0.5,3,3.72,5533.13,100.0
5.53,68.78,4.0,3.76,6,4.62,2,2.43,16078.21,100.0
5.71,86.7,9.3,2.64,6,2.36,3,2.23,27860.27,100.0
4.65,91.56,6.85,2.56,10,1.36,2,1.96,20163.89,100.0
6.13,82.13,8.22,2.73,5,2.38,2,4.27,12819.04,100.0
7.43,96.77,5.86,2.48,10,3.17,2,1.56,17812.78,100.0
10.84,70.26,7.67,3.07,6,2.41,2,2.57,18108.1,100.0
6.9,65.55,5.84,3.89,9,0.5,2,2.58,20835.78,100.0
7.09,60.21,6.31,3.18,7,5.11,0,1.75,9798.85,100.0
6.33,92.96,9.11,2.86,9,5.79,2,0.44,21555.4,100.0
2.09,84.54,6.79,2.84,6,4.67,0,2.98,5000.0,100.0
6.44,77.44,7.24,2.14,7,1.45,4,2.41,14220.69,100.0
6.64,80.8,7.96,3.49,8,3.14,4,3.25,15070.36,100.0
12.0,66.75,7.55,2.96,5,3.49,2,1.7,21799.96,100.0
6.06,100.0,7.17,2.9,9,4.58,3,4.33,18135.79,100.0
7.19,79.29,7.4,4.0,6,4.7,2,1.18,9566.62,100.0
6.42,79.09,9.64,3.16,7,2.18,3,5.07,12090.04,100.0
3.81,85.26,6.94,2.59,6,3.65,3,0.0,19192.08,100.0
9.13,82.81,7.22,2.77,2,4.32,4,3.15,17525.6,100.0
8.23,80.24,8.16,3.63,7,6.12,2,3.21,14525.26,100.0
8.32,70.1,8.22,3.06,10,4.77,3,1.31,15115.0,100.0
4.41,82.71,8.31,2.21,9,4.92,2,3.14,22177.01,100.0
9.73,96.82,7.7,3.51,7,3.65,4,4.42,14893.84,100.0
3.28,91.45,5.74,2.63,7,6.04,0,0.0,17471.45,100.0
7.85,93.93,8.8,4.0,8,4.24,2,3.25,31019.62,100.0
11.54,72.89,5.74,3.59,9,1.95,3,0.0,9457.9,100.0
4.22,68.1,7.33,2.75,5,6.03,3,1.05,6888.94,100.0
5.2,76.74,6.17,3.7,10,4.76,1,4.94,22701.54,100.0
6.73,78.56,6.93,3.04,9,2.7,4,1.63,13928.14,100.0
5.34,88.94,7.36,3.47,9,2.64,1,0.74,16090.57,100.0
2.93,61.08,7.35,3.27,8,4.03,2,2.2,13313.06,100.0
6.66,93.3,7.46,2.53,8,4.33,1,5.6,16441.2,100.0
4.06,76.42,8.78,2.65,9,3.86,2,0.0,27591.23,100.0
7.59,73.73,7.5,3.57,9,4.06,2,0.92,22812.77,100.0
4.39,67.88,6.73,2.82,7,6.56,2,4.75,23173.34,100.0
10.06,61.45,8.06,2.78,6,5.43,1,5.29,9502.64,100.0
4.7,86.23,8.31,2.47,8,3.84,1,2.34,11093.08,100.0
5.76,78.73,5.65,3.23,10,5.19,2,0.64,5000.0,100.0
8.37,65.1,7.66,4.0,5,1.64,3,5.64,13143.72,100.0
3.67,65.05,7.77,2.41,5,4.22,3,4.89,23740.22,100.0
7.02,74.64,6.67,3.01,8,6.76,1,3.52,21101.68,100.0
9.51,94.69,8.51,3.78,8,3.11,2,1.28,16670.92,100.0
2.8,75.4,6.83,2.96,8,1.97,1,2.43,17866.2,100.0
6.92,62.97,7.14,3.25,8,2.33,0,2.26,13866.69,100.0
7.1,75.54,6.81,2.42,7,1.54,3,3.0,19228.55,100.0
8.3,75.27,7.02,3.24,10,2.09,2,4.68,22595.27,100.0
3.66,51.03,5.79,2.9,4,2.83,1,3.82,8304.68,88.44
3.46,77.46,5.42,3.54,6,0.97,1,0.88,19797.89,100.0
7.7,75.69,8.75,3.65,7,3.53,0,4.56,23594.61,100.0
7.18,84.96,6.07,4.0,4,5.12,3,2.97,15509.4,100.0
7.08,96.49,5.91,3.32,7,1.87,4,3.53,22204.2,100.0
7.3,89.27,4.63,3.18,10,6.23,1,4.7,34887.93,100.0
4.94,75.31,6.3,3.11,8,4.42,1,0.83,17373.94,100.0
7.03,66.93,5.54,2.81,8,5.36,3,2.45,20359.84,100.0
7.17,100.0,8.81,3.19,5,2.32,3,1.7,13571.66,100.0
4.86,78.59,8.11,2.84,6,5.04,2,0.15,19087.51,100.0
10.79,78.14,6.24,3.09,7,1.53,1,3.02,20761.63,100.0
7.59,77.76,9.48,3.72,7,5.1,0,6.27,19169.05,100.0
3.76,79.98,8.08,2.45,10,3.81,2,0.0,11881.83,100.0
8.01,76.56,6.64,3.63,9,4.5,2,2.45,19238.17,100.0
4.26,72.26,4.25,3.72,5,1.38,0,3.46,26773.18,100.0
8.31,72.53,9.52,2.94,8,1.89,2,2.68,20691.81,100.0
9.16,77.67,5.47,1.83,8,4.58,0,2.33,23771.92,100.0
4.61,72.57,5.19,2.67,10,1.79,3,0.55,16577.93,100.0
8.72,70.87,8.12,3.71,10,4.33,2,2.85,22499.4,100.0
7.45,79.06,9.68,2.99,5,1.04,0,1.36,19675.61,100.0
8.39,75.45,8.52,2.45,6,5.03,2,0.0,12294.54,100.0
10.86,93.04,7.62,2.72,5,1.28,2,4.29,19911.13,100.0
5.94,51.49,7.65,3.46,7,4.49,4,3.94,12049.82,100.0
4.77,88.92,7.94,3.3,8,4.63,2,2.58,14202.72,100.0
4.45,90.46,7.83,2.87,9,2.25,2,2.84,19135.97,100.0
4.62,57.27,7.31,2.8,7,4.55,3,4.11,19783.47,100.0
6.32,74.57,7.11,2.78,7,3.97,2,2.84,10864.61,100.0
7.28,74.29,6.93,2.49,8,2.53,3,3.86,24323.91,100.0
7.14,63.92,6.17,3.89,6,1.68,2,2.05,21432.04,100.0
8.4,70.22,6.69,2.82,10,0.5,2,4.47,13771.63,100.0
6.53,66.89,5.14,3.67,4,4.13,1,2.98,8774.49,100.0
9.84,95.52,6.89,3.84,8,0.68,2,2.79,17130.57,100.0
5.89,87.36,5.91,3.55,10,3.67,3,0.59,15324.34,100.0
12.0,90.72,5.79,2.76,8,3.03,3,2.93,18678.84,100.0
7.94,85.22,7.2,3.22,7,4.72,1,1.25,15821.3,100.0
4.53,66.71,8.53,2.99,7,2.96,1,1.54,5955.26,100.0
4.04,72.75,8.01,2.5,7,2.91,3,1.28,15669.92,100.0
7.61,82.89,5.27,3.18,10,4.82,4,0.9,16166.29,100.0
5.99,65.78,5.91,2.35,3,4.1,1,5.69,21801.97,100.0
8.14,85.13,8.03,3.65,10,4.07,2,4.5,13810.8,100.0
7.59,75.6,5.92,2.74,5,4.34,2,5.38,28072.05,100.0
6.33,74.25,6.75,3.11,7,0.74,3,0.67,6530.16,100.0
4.55,85.11,7.61,3.16,7,4.86,1,2.61,25867.0,100.0
3.02,82.44,5.93,2.86,9,4.6,1,0.56,16654.09,100.0
5.47,74.39,7.12,3.32,4,1.67,3,1.46,23157.51,100.0
8.47,89.59,5.53,2.74,8,3.06,1,1.12,18478.81,100.0
6.99,67.19,6.34,3.48,10,3.43,2,4.36,24837.33,100.0
3.63,84.16,7.35,2.26,5,3.26,2,1.91,15675.83,100.0
6.9,83.93,5.25,3.07,8,4.1,2,4.1,11408.28,100.0
7.39,74.9,7.48,4.0,6,6.08,2,3.41,26523.03,100.0
4.47,81.26,6.98,2.45,8,5.45,2,5.96,17319.12,100.0
6.85,65.49,7.61,2.63,8,1.14,1,0.28,19329.35,100.0
6.63,87.24,7.25,3.28,6,4.62,2,4.39,25408.51,100.0
3.87,76.15,8.5,3.1,8,5.89,3,4.22,11808.27,100.0
7.32,72.77,7.14,3.19,10,4.2,3,1.04,21572.95,100.0
7.79,88.49,6.53,3.27,7,5.46,1,4.01,14460.63,100.0
8.99,70.96,7.13,3.35,9,7.12,1,3.0,17206.98,100.0
8.92,63.92,7.6,3.61,5,5.34,2,2.16,18433.67,100.0
3.33,62.43,7.05,3.23,6,3.95,2,1.26,8998.67,100.0
4.34,84.06,7.04,2.87,8,5.38,2,1.42,13326.98,100.0
7.68,65.2,6.23,3.37,10,3.76,3,5.57,26106.44,100.0
7.68,95.55,6.27,4.0,8,3.54,1,2.5,23317.15,100.0
7.68,57.18,5.46,2.93,7,2.87,0,3.67,17624.16,100.0
12.0,94.96,8.92,2.46,7,6.31,2,1.31,19458.74,100.0
7.81,80.11,5.63,3.61,5,2.03,3,1.33,16234.54,100.0
9.11,77.03,6.24,2.93,9,6.26,1,4.12,26139.5,100.0
8.69,72.55,6.21,1.81,9,4.4,2,0.48,16797.88,100.0
8.0,81.99,7.98,3.47,7,0.98,2,1.88,19391.05,100.0
5.77,77.62,6.68,2.71,7,4.16,3,2.55,24876.18,100.0
8.25,89.03,8.37,2.95,8,0.5,3,2.67,13335.77,100.0
4.72,79.14,6.26,3.18,7,4.63,2,2.23,27352.74,100.0
5.96,79.5,7.31,3.1,7,5.09,1,3.09,8817.23,100.0
5.38,74.36,6.08,3.39,10,2.43,2,3.54,27777.85,100.0
6.69,77.43,9.36,2.76,7,3.72,1,3.6,15763.95,100.0
11.82,81.08,5.69,3.28,7,7.02,3,1.02,16543.81,100.0
2.21,60.9,7.34,2.86,6,2.59,3,2.07,6659.94,90.17
8.08,64.52,7.7,3.41,9,1.59,3,4.29,15271.23,100.0
2.79,85.43,7.46,3.34,7,6.17,3,3.84,11761.16,100.0
5.41,79.71,6.8,2.49,6,7.03,2,0.44,14354.12,100.0
9.0,76.16,6.86,3.6,10,3.51,1,3.03,17176.13,100.0
6.65,78.18,7.05,2.71,10,5.32,3,0.0,23746.75,100.0
4.02,81.48,6.84,3.44,6,5.91,2,2.57,19245.62,100.0
4.85,72.6,8.06,3.2,4,2.16,3,5.35,19846.06,100.0
8.06,70.22,9.43,4.0,10,2.63,2,1.08,11426.88,100.0
4.82,79.96,6.39,2.88,6,5.72,1,1.25,12715.48,100.0
7.0,68.22,5.49,2.81,9,6.53,4,3.65,28792.35,100.0
6.6,82.08,6.9,2.99,4,4.51,1,0.19,13588.79,100.0
5.0,60.97,9.84,2.83,9,1.92,4,1.55,27937.25,100.0
11.43,88.29,6.12,3.44,5,7.08,4,3.39,16541.63,100.0
7.96,82.73,8.8,2.11,9,2.54,3,1.55,18013.73,100.0
1.84,80.56,8.85,2.42,8,2.9,3,2.15,24422.19,100.0
6.93,87.83,6.39,2.41,6,4.12,2,3.62,25631.35,100.0
4.98,94.65,7.63,3.52,7,6.3,3,3.13,17335.12,100.0
8.46,88.14,8.79,3.94,9,5.04,2,2.9,15670.54,100.0
4.68,59.59,6.58,2.94,8,4.25,2,1.99,17664.48,100.0
6.24,65.2,6.78,2.91,9,4.33,2,3.06,20027.75,100.0
7.66,71.75,6.36,3.04,10,3.58,2,2.31,23347.82,100.0
8.49,78.26,5.88,3.64,4,4.5,2,3.19,18025.38,100.0
3.74,83.18,6.29,2.49,10,0.5,2,1.75,21713.32,100.0
5.73,70.74,5.65,3.13,8,2.97,2,2.23,27830.16,100.0
5.41,79.87,7.04,3.54,6,3.93,3,1.02,20287.86,100.0
5.0,70.45,6.15,3.28,5,1.43,1,2.45,19869.92,100.0
10.56,71.88,7.26,3.1,7,4.2,4,1.28,8886.54,100.0
7.43,63.93,5.29,3.55,9,3.13,3,0.83,5000.0,100.0
3.6,68.77,7.36,1.51,7,6.66,3,2.89,20330.25,97.97
8.61,64.48,7.92,3.37,10,6.33,2,2.82,17431.05,100.0
11.38,68.24,4.81,2.64,5,2.66,3,3.67,14911.3,100.0
8.87,88.54,7.41,1.99,7,3.23,0,1.85,19461.18,100.0
3.01,68.51,8.35,3.28,5,3.37,3,3.11,17637.58,100.0
5.39,100.0,5.67,3.76,8,2.69,0,3.33,24766.68,100.0
9.41,82.93,8.84,2.92,9,3.85,3,3.17,18516.67,100.0
4.87,79.85,7.46,3.52,7,2.14,4,1.26,13518.46,100.0
7.52,69.42,6.22,3.89,2,1.46,2,2.72,23941.0,100.0
8.28,85.0,6.94,3.72,8,4.62,1,3.05,16697.21,100.0
4.37,72.24,7.61,3.9,8,4.63,3,2.51,21159.22,100.0
6.36,79.22,7.08,3.41,8,2.05,2,0.0,15135.54,100.0
1.0,100.0,7.59,3.04,10,5.11,3,2.74,14101.04,100.0
4.14,77.04,5.99,2.12,5,2.36,1,5.82,18505.01,97.1
5.92,89.49,7.19,2.86,9,3.96,1,1.96,18076.97,100.0
3.63,70.97,5.44,2.54,10,4.98,4,1.41,20878.96,100.0
10.25,77.65,6.88,4.0,4,3.44,3,3.06,16388.13,100.0
3.21,95.71,6.01,2.9,8,4.32,3,2.97,6981.84,100.0
5.49,71.73,6.19,3.07,6,2.57,2,4.29,15403.36,100.0
6.8,96.12,8.36,3.3,7,3.15,3,0.61,22762.91,100.0
9.81,85.08,8.2,3.02,8,3.13,2,3.6,16215.74,100.0
3.2,72.38,7.67,3.93,7,2.16,2,3.39,16521.7,100.0
9.18,84.32,5.8,2.66,6,3.18,3,2.29,23918.26,100.0
6.52,87.73,6.65,3.11,8,0.71,2,3.01,13728.16,100.0
4.24,84.22,8.33,2.59,5,2.62,2,4.04,8743.18,100.0
7.56,62.3,7.16,2.27,5,2.99,2,3.81,17036.21,100.0
6.96,70.73,9.55,2.66,9,3.04,3,0.79,15094.96,100.0
5.12,75.52,7.43,2.98,5,3.07,1,3.73,12202.52,100.0
6.66,77.26,7.21,2.76,9,3.39,3,2.4,16947.73,100.0
5.61,84.21,6.66,2.62,8,4.36,1,2.61,20949.03,100.0
6.76,79.78,7.15,2.23,4,5.07,2,2.61,17944.27,100.0
8.02,64.65,6.83,2.95,6,2.33,3,2.27,19841.89,100.0
10.15,81.8,7.78,2.17,10,1.33,1,4.29,28880.45,100.0
3.65,84.11,8.05,3.42,6,1.62,1,2.37,15942.73,100.0
11.41,83.6,6.14,3.05,7,2.62,1,0.82,19670.09,100.0
2.01,88.81,5.54,2.2,8,2.87,2,1.91,14944.72,100.0
6.15,86.34,4.98,2.83,9,2.11,3,2.77,12921.84,100.0
7.85,82.59,7.56,2.59,7,1.17,0,4.34,14490.55,100.0
7.15,77.3,5.79,3.18,6,2.68,3,3.4,15127.45,100.0
5.07,61.39,4.63,3.74,10,3.83,2,1.22,20156.85,100.0
6.02,82.3,7.43,1.97,10,4.57,2,6.23,32094.45,100.0
5.37,80.08,9.74,3.06,9,2.5,3,2.9,13703.74,100.0
5.14,80.72,6.99,2.91,8,2.76,2,4.41,15500.25,100.0
8.45,65.23,7.92,3.37,6,1.83,2,2.27,17621.26,100.0
7.32,67.19,7.09,3.12,6,3.44,0,3.3,20374.79,100.0
4.91,88.53,6.89,2.59,9,1.97,1,3.76,19581.3,100.0
8.57,77.6,8.01,2.82,8,4.53,2,4.33,25704.57,100.0
7.21,84.82,6.68,2.56,10,0.5,0,4.09,5000.0,100.0
8.37,78.28,7.29,3.59,9,2.85,2,3.81,5000.0,100.0
7.95,78.3,7.35,3.01,4,4.04,2,2.03,15024.73,100.0
4.59,87.38,6.27,4.0,10,3.83,2,1.64,24583.8,100.0
5.21,72.84,8.09,2.97,6,8.35,1,3.0,8606.11,100.0
8.22,78.96,6.81,2.61,7,4.13,2,3.9,5000.0,100.0
7.9,73.38,6.17,2.17,8,1.69,3,2.17,21427.08,100.0
6.45,73.66,7.59,2.01,10,3.33,4,4.1,19461.94,100.0
6.77,74.91,6.01,2.13,10,0.5,1,4.68,11458.75,100.0
9.44,80.22,7.03,3.15,9,3.35,3,1.13,12086.76,100.0
5.14,73.21,6.99,3.28,7,2.0,2,1.24,12181.54,100.0
7.76,90.56,8.19,2.13,9,5.15,2,2.29,18663.21,100.0
6.03,69.05,7.52,3.49,9,2.51,2,2.96,14242.11,100.0
6.0,76.13,6.97,2.73,7,3.29,1,1.71,20964.38,100.0
9.03,73.6,7.9,3.08,10,2.36,1,4.53,5000.0,100.0
8.4,92.47,8.53,3.89,8,6.63,2,3.14,12858.89,100.0
8.37,79.97,7.61,3.49,8,2.92,2,2.56,11243.68,100.0
9.5,88.32,7.01,2.85,9,6.8,3,0.35,16461.96,100.0
6.55,63.14,5.56,2.51,8,4.97,2,0.53,14771.71,100.0
8.07,80.67,5.83,1.82,9,4.37,1,2.92,22787.06,100.0
5.79,86.9,6.66,2.6,6,4.16,3,0.0,6843.98,100.0
7.25,78.82,6.33,2.88,6,4.21,2,4.02,18272.95,100.0
6.2,88.65,6.79,2.46,5,0.5,2,2.26,21350.02,100.0
6.72,72.83,7.06,2.93,8,3.0,3,7.0,29139.88,100.0
7.87,92.09,7.58,3.04,9,5.02,3,5.96,15109.4,100.0
4.62,100.0,6.92,2.88,8,3.41,3,2.23,19946.75,100.0
11.31,74.37,7.54,2.64,10,0.97,3,2.34,7176.82,100.0
4.19,73.54,7.07,3.09,7,3.41,3,3.99,5000.0,100.0
3.71,92.53,4.83,3.24,9,6.57,4,5.05,23068.65,100.0
9.16,93.8,5.97,2.4,5,5.74,2,0.04,17966.64,100.0
8.32,72.77,6.84,3.78,7,3.39,0,0.0,25071.08,100.0
7.94,73.8,5.67,2.95,9,5.21,2,1.57,9759.58,100.0
7.95,75.18,7.66,3.01,9,2.84,1,3.37,21119.41,100.0
6.47,64.56,8.68,3.39,7,0.5,3,3.25,29212.91,100.0
4.44,68.81,8.34,3.13,7,1.84,2,4.1,20518.23,100.0
6.67,67.96,6.77,3.52,4,6.31,2,0.7,19659.49,100.0
4.94,70.32,8.64,3.16,7,3.01,0,0.0,18051.34,100.0
8.74,77.65,7.16,2.66,9,3.06,3,3.79,8574.71,100.0
6.16,80.34,6.63,3.2,9,2.96,2,1.26,26133.44,100.0
4.6,93.51,6.33,2.37,9,6.93,3,0.0,14334.85,100.0
5.76,68.02,6.67,3.06,8,6.43,2,2.72,21026.9,100.0
7.45,87.84,6.57,2.98,8,7.49,2,3.69,8621.79,100.0
5.2,75.86,7.19,2.89,6,3.21,1,2.32,10923.24,100.0
4.61,77.51,7.18,2.93,9,4.03,1,1.81,26610.52,100.0
7.06,84.75,7.0,1.96,8,0.77,3,2.26,15916.19,100.0
7.06,66.77,7.48,2.7,8,6.16,3,1.94,26719.65,100.0
5.33,81.82,8.31,3.05,6,1.4,2,0.48,17530.62,100.0
5.42,79.66,8.04,3.09,3,3.89,1,1.43,6948.61,100.0
7.03,82.92,5.37,2.43,10,1.52,2,3.28,23352.41,100.0
3.17,80.89,4.19,3.7,7,2.44,3,2.98,14460.65,100.0
3.26,100.0,8.03,2.52,6,1.99,3,2.75,22192.13,100.0
4.85,71.62,5.5,3.53,9,2.41,1,1.01,18151.27,100.0
6.01,72.69,6.75,3.23,7,2.53,0,2.23,8741.29,100.0
7.22,71.77,5.71,2.64,10,2.51,3,0.0,18985.77,100.0
9.89,72.45,5.02,3.98,9,5.0,2,2.77,31177.34,100.0
8.47,71.63,7.6,2.34,9,1.51,2,4.64,20957.92,100.0
6.13,89.89,7.84,3.51,5,3.9,0,0.29,17654.89,100.0
6.46,92.21,6.37,3.55,10,5.69,2,1.62,24452.06,100.0
4.19,72.29,4.15,2.63,8,2.58,3,2.99,19264.01,100.0
6.46,69.68,6.4,3.77,7,2.21,4,4.38,19257.21,100.0
5.84,82.71,7.43,2.86,8,3.09,2,1.83,11450.25,100.0
7.24,72.48,5.37,3.16,4,5.62,2,1.46,19403.09,100.0
4.6,84.33,7.2,3.14,8,3.85,1,0.0,24212.66,100.0
7.69,80.03,6.98,2.93,5,2.54,2,2.66,12983.63,100.0
10.03,62.84,7.64,3.45,5,4.37,2,5.56,26546.97,100.0
6.25,93.48,7.13,3.44,4,1.52,2,2.92,17449.76,100.0
7.42,95.96,5.93,2.04,10,4.73,2,2.47,12673.38,100.0
8.09,71.87,8.32,3.72,6,4.24,1,2.98,23985.79,100.0
5.58,74.12,6.83,2.09,10,2.95,1,2.48,16279.23,100.0
7.02,80.86,6.97,3.57,6,1.99,2,1.28,22557.09,100.0
6.53,81.34,5.97,3.62,4,1.9,1,3.73,16249.45,100.0
6.72,84.59,6.51,2.4,5,4.46,1,2.84,17641.04,100.0
4.72,98.1,6.03,2.77,10,5.71,4,2.53,20961.36,100.0
6.56,76.23,6.81,2.39,7,2.35,2,1.04,19745.38,100.0
7.65,70.02,8.88,2.88,6,4.33,2,4.46,6026.81,100.0
9.84,64.21,5.49,2.83,8,0.5,3,3.5,11272.54,100.0
8.71,70.69,5.23,3.43,9,2.45,4,1.67,23576.46,100.0
11.45,77.67,8.62,3.72,10,3.44,2,4.0,17207.18,100.0
